region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
AYSEN,media,Adecuado,17.10%,8.60%,21.40%,0.00%,17.10%,17.60%,13.70%,17.10%,3.00%,10.50%,17.60%,30.30%,47.70%,17.10%,21.00%,12.50%,17.10%,17.60%,14.70%,17.10%,17.10%,16.70%,17.10%,18.90%,3.00%
AYSEN,media,Total,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
BBIO,media,Insuficiente,51.20%,64.90%,46.00%,15.00%,51.20%,50.50%,70.50%,51.20%,72.20%,60.00%,49.20%,33.20%,14.50%,51.20%,48.10%,54.50%,51.20%,50.40%,64.10%,51.20%,51.10%,55.60%,51.20%,47.60%,80.50%
BBIO,media,Elemental,31.40%,27.00%,34.40%,33.40%,31.40%,31.70%,23.60%,31.40%,23.40%,30.40%,34.30%,38.00%,33.50%,31.40%,31.60%,31.10%,31.40%,31.70%,26.50%,31.40%,31.30%,32.90%,31.40%,33.20%,16.60%
BBIO,media,Adecuado,17.40%,8.10%,19.60%,51.50%,17.40%,17.80%,5.90%,17.40%,4.30%,9.60%,16.50%,28.80%,52.00%,17.40%,20.30%,14.40%,17.40%,17.90%,9.40%,17.40%,17.60%,11.50%,17.40%,19.20%,2.90%
BBIO,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
COQ,media,Insuficiente,51.90%,64.50%,49.40%,17.10%,51.90%,51.80%,56.00%,51.90%,70.90%,63.00%,50.00%,35.90%,15.80%,51.90%,49.20%,54.70%,52.10%,52.00%,54.70%,51.90%,51.40%,63.90%,51.90%,48.50%,81.40%
COQ,media,Elemental,32.20%,27.20%,34.80%,36.20%,32.20%,32.20%,31.10%,32.20%,25.40%,27.70%,33.60%,41.90%,36.00%,32.20%,32.40%,32.00%,32.30%,32.20%,34.10%,32.20%,32.40%,26.80%,32.20%,33.90%,17.00%
COQ,media,Adecuado,15.90%,8.20%,15.90%,46.70%,15.90%,15.90%,13.00%,15.90%,3.80%,9.30%,16.40%,22.20%,48.20%,15.90%,18.40%,13.30%,15.70%,15.80%,11.20%,15.90%,16.20%,9.30%,15.90%,17.50%,1.60%
COQ,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
