comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CALERA,basica,Insuficiente,41.2%,52.6%,40.4%,26.7%,41.2%,41.3%,36.4%,41.2%,51.4%,43.4%,44.6%,20.8%,26.7%,41.2%,34.4%,47.7%,41.2%,40.7%,58.8%,41.2%,40.7%,48.6%,41.2%,37.9%,78.2%
CALERA,basica,Elemental,41.3%,36.8%,41.3%,51.1%,41.3%,41.3%,45.5%,41.3%,32.9%,42.8%,39.9%,46.8%,51.1%,41.3%,43.4%,39.3%,41.3%,41.6%,29.4%,41.3%,41.5%,37.8%,41.3%,43.8%,12.7%
CALERA,basica,Adecuado,17.5%,10.5%,18.3%,22.2%,17.5%,17.5%,18.2%,17.5%,15.7%,13.8%,15.5%,32.5%,22.2%,17.5%,22.2%,13.0%,17.6%,17.7%,11.8%,17.5%,17.7%,13.5%,17.5%,18.2%,9.1%
CALERA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CALERA DE TANGO,basica,Insuficiente,38.6%,59.1%,37.5%,16.3%,38.6%,21.7%,42.4%,38.6%,0.0%,59.1%,37.5%,0.0%,16.3%,38.6%,32.2%,46.0%,38.6%,38.8%,25.0%,38.6%,38.7%,36.4%,38.6%,34.3%,91.7%
CALERA DE TANGO,basica,Elemental,35.5%,32.8%,34.4%,39.0%,35.5%,48.3%,32.6%,35.5%,0.0%,32.8%,34.4%,0.0%,39.0%,35.5%,33.9%,37.3%,35.5%,35.3%,50.0%,35.5%,34.8%,54.5%,35.5%,38.3%,0.0%
CALERA DE TANGO,basica,Adecuado,25.9%,8.0%,28.1%,44.7%,25.9%,30.0%,25.0%,25.9%,0.0%,8.0%,28.1%,0.0%,44.7%,25.9%,33.9%,16.7%,25.9%,25.9%,25.0%,25.9%,26.5%,9.1%,25.9%,27.3%,8.3%
CALERA DE TANGO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CALLE LARGA,basica,Insuficiente,47.7%,58.6%,47.9%,20.7%,47.7%,45.5%,66.7%,47.7%,0.0%,58.3%,48.9%,53.3%,20.7%,47.7%,43.8%,52.6%,47.7%,46.7%,100.0%,47.7%,47.9%,33.3%,47.7%,45.0%,65.2%
CALLE LARGA,basica,Elemental,36.6%,30.0%,41.1%,41.4%,36.6%,38.3%,22.2%,36.6%,0.0%,30.6%,40.4%,35.0%,41.4%,36.6%,37.5%,35.5%,36.6%,37.3%,0.0%,36.6%,36.7%,33.3%,36.6%,38.3%,26.1%
CALLE LARGA,basica,Adecuado,15.7%,11.4%,11.0%,37.9%,15.7%,16.2%,11.1%,15.7%,0.0%,11.1%,10.6%,11.7%,37.9%,15.7%,18.8%,11.8%,15.7%,16.0%,0.0%,15.7%,15.4%,33.3%,15.7%,16.8%,8.7%
CALLE LARGA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAMARONES,basica,Insuficiente,60.0%,60.0%,0.0%,0.0%,60.0%,0.0%,60.0%,60.0%,50.0%,0.0%,50.0%,100.0%,0.0%,60.0%,60.0%,0.0%,60.0%,50.0%,66.7%,60.0%,0.0%,100.0%,60.0%,60.0%,0.0%
CAMARONES,basica,Elemental,40.0%,40.0%,0.0%,0.0%,40.0%,0.0%,40.0%,40.0%,50.0%,0.0%,50.0%,0.0%,0.0%,40.0%,40.0%,0.0%,40.0%,50.0%,33.3%,40.0%,100.0%,0.0%,40.0%,40.0%,0.0%
CAMARONES,basica,Adecuado,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAMARONES,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%
CAMIÑA,basica,Insuficiente,52.6%,52.6%,0.0%,0.0%,52.6%,0.0%,52.6%,52.6%,52.6%,0.0%,0.0%,0.0%,0.0%,52.6%,42.9%,58.3%,52.6%,50.0%,53.8%,52.6%,46.7%,75.0%,52.6%,40.0%,100.0%
CAMIÑA,basica,Elemental,42.1%,42.1%,0.0%,0.0%,42.1%,0.0%,42.1%,42.1%,42.1%,0.0%,0.0%,0.0%,0.0%,42.1%,57.1%,33.3%,42.1%,50.0%,38.5%,42.1%,46.7%,25.0%,42.1%,53.3%,0.0%
CAMIÑA,basica,Adecuado,5.3%,5.3%,0.0%,0.0%,5.3%,0.0%,5.3%,5.3%,5.3%,0.0%,0.0%,0.0%,0.0%,5.3%,0.0%,8.3%,5.3%,0.0%,7.7%,5.3%,6.7%,0.0%,5.3%,6.7%,0.0%
CAMIÑA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CANELA,basica,Insuficiente,55.8%,55.8%,0.0%,0.0%,55.8%,52.0%,63.0%,55.8%,80.0%,29.4%,57.8%,0.0%,0.0%,55.8%,51.2%,61.1%,55.8%,54.7%,100.0%,55.8%,55.8%,0.0%,55.8%,51.5%,88.9%
CANELA,basica,Elemental,35.1%,35.1%,0.0%,0.0%,35.1%,40.0%,25.9%,35.1%,20.0%,52.9%,33.3%,0.0%,0.0%,35.1%,34.1%,36.1%,35.1%,36.0%,0.0%,35.1%,35.1%,0.0%,35.1%,38.2%,11.1%
CANELA,basica,Adecuado,9.1%,9.1%,0.0%,0.0%,9.1%,8.0%,11.1%,9.1%,0.0%,17.6%,8.9%,0.0%,0.0%,9.1%,14.6%,2.8%,9.1%,9.3%,0.0%,9.1%,9.1%,0.0%,9.1%,10.3%,0.0%
CANELA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
CAÑETE,basica,Insuficiente,40.6%,41.4%,39.6%,0.0%,40.6%,26.7%,63.2%,40.6%,72.2%,37.7%,0.0%,13.9%,0.0%,40.6%,36.6%,43.8%,40.7%,36.5%,48.7%,40.6%,40.8%,0.0%,40.6%,33.1%,79.7%
CAÑETE,basica,Elemental,33.1%,37.1%,28.1%,0.0%,33.1%,37.6%,25.8%,33.1%,21.7%,38.2%,0.0%,35.7%,0.0%,33.1%,34.0%,32.3%,32.8%,31.0%,36.0%,33.1%,32.6%,100.0%,33.1%,35.8%,18.8%
CAÑETE,basica,Adecuado,26.3%,21.5%,32.3%,0.0%,26.3%,35.7%,11.0%,26.3%,6.1%,24.1%,0.0%,50.4%,0.0%,26.3%,29.4%,23.8%,26.5%,32.5%,15.3%,26.3%,26.5%,0.0%,26.3%,31.1%,1.4%
CAÑETE,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CARAHUE,basica,Insuficiente,55.6%,54.2%,57.3%,0.0%,55.6%,50.3%,66.7%,55.6%,69.0%,60.0%,47.2%,0.0%,0.0%,55.6%,50.0%,60.9%,55.3%,47.7%,62.5%,55.6%,55.6%,0.0%,55.6%,46.9%,86.4%
CARAHUE,basica,Elemental,31.7%,31.3%,32.3%,0.0%,31.7%,33.1%,28.7%,31.7%,26.8%,34.5%,33.1%,0.0%,0.0%,31.7%,32.3%,31.2%,32.0%,32.3%,31.6%,31.7%,31.7%,0.0%,31.7%,36.8%,13.6%
CARAHUE,basica,Adecuado,12.7%,14.6%,10.5%,0.0%,12.7%,16.6%,4.6%,12.7%,4.2%,5.5%,19.7%,0.0%,0.0%,12.7%,17.7%,8.0%,12.8%,20.0%,5.9%,12.7%,12.7%,0.0%,12.7%,16.3%,0.0%
CARAHUE,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
CARTAGENA,basica,Insuficiente,54.8%,62.6%,44.7%,0.0%,54.8%,55.6%,42.1%,54.8%,0.0%,63.4%,44.7%,50.0%,0.0%,54.8%,53.8%,55.9%,54.8%,54.7%,57.1%,54.8%,54.5%,61.5%,54.8%,50.0%,93.9%
CARTAGENA,basica,Elemental,34.7%,33.3%,36.4%,0.0%,34.7%,34.2%,42.1%,34.7%,0.0%,32.9%,36.4%,40.0%,0.0%,34.7%,33.1%,36.4%,34.7%,34.3%,42.9%,34.7%,34.5%,38.5%,34.7%,38.1%,6.1%
CARTAGENA,basica,Adecuado,10.6%,4.1%,18.9%,0.0%,10.6%,10.2%,15.8%,10.6%,0.0%,3.7%,18.9%,10.0%,0.0%,10.6%,13.1%,7.7%,10.6%,11.1%,0.0%,10.6%,11.0%,0.0%,10.6%,11.9%,0.0%
CARTAGENA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CASABLANCA,basica,Insuficiente,46.4%,48.3%,45.2%,50.0%,46.4%,46.4%,0.0%,46.4%,25.0%,58.7%,43.8%,28.2%,50.0%,46.4%,43.0%,49.5%,46.4%,46.2%,50.0%,46.4%,45.7%,56.5%,46.4%,41.1%,75.0%
CASABLANCA,basica,Elemental,37.4%,38.1%,37.4%,30.0%,37.4%,37.4%,0.0%,37.4%,62.5%,30.3%,38.5%,48.7%,30.0%,37.4%,38.4%,36.6%,37.4%,37.3%,41.7%,37.4%,37.6%,34.8%,37.4%,39.7%,25.0%
CASABLANCA,basica,Adecuado,16.2%,13.6%,17.4%,20.0%,16.2%,16.2%,0.0%,16.2%,12.5%,11.0%,17.7%,23.1%,20.0%,16.2%,18.6%,14.0%,16.2%,16.5%,8.3%,16.2%,16.7%,8.7%,16.2%,19.2%,0.0%
CASABLANCA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CASTRO,basica,Insuficiente,39.3%,47.9%,29.8%,0.0%,39.3%,39.3%,38.8%,39.3%,75.5%,43.3%,44.4%,19.5%,17.0%,39.3%,32.8%,45.7%,39.3%,35.4%,55.2%,39.3%,37.7%,65.5%,39.3%,32.7%,71.9%
CASTRO,basica,Elemental,40.0%,35.4%,45.1%,0.0%,40.0%,41.0%,32.8%,40.0%,13.2%,40.9%,42.9%,48.7%,35.8%,40.0%,44.0%,36.0%,39.9%,41.3%,34.3%,40.0%,40.5%,31.0%,40.0%,42.6%,27.0%
CASTRO,basica,Adecuado,20.7%,16.8%,25.1%,0.0%,20.7%,19.7%,28.4%,20.7%,11.3%,15.7%,12.7%,31.9%,47.2%,20.7%,23.1%,18.4%,20.8%,23.3%,10.5%,20.7%,21.7%,3.4%,20.7%,24.7%,1.1%
CASTRO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CATEMU,basica,Insuficiente,43.3%,50.0%,12.5%,0.0%,43.3%,45.5%,40.4%,43.3%,66.7%,27.6%,33.3%,0.0%,0.0%,43.3%,36.2%,50.8%,43.3%,43.6%,0.0%,43.3%,42.5%,57.1%,43.3%,34.9%,80.0%
CATEMU,basica,Elemental,39.6%,37.3%,50.0%,0.0%,39.6%,35.1%,45.6%,39.6%,26.7%,41.4%,48.3%,0.0%,0.0%,39.6%,43.5%,35.4%,39.6%,39.1%,100.0%,39.6%,39.4%,42.9%,39.6%,45.9%,12.0%
CATEMU,basica,Adecuado,17.2%,12.7%,37.5%,0.0%,17.2%,19.5%,14.0%,17.2%,6.7%,31.0%,18.3%,0.0%,0.0%,17.2%,20.3%,13.8%,17.2%,17.3%,0.0%,17.2%,18.1%,0.0%,17.2%,19.3%,8.0%
CATEMU,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAUQUENES,basica,Insuficiente,38.8%,44.5%,29.5%,0.0%,38.8%,37.8%,48.8%,38.8%,63.6%,39.1%,37.2%,25.0%,0.0%,38.8%,36.2%,41.5%,38.8%,39.0%,33.3%,38.8%,38.8%,50.0%,38.8%,31.7%,73.1%
CAUQUENES,basica,Elemental,39.7%,37.5%,43.4%,0.0%,39.7%,39.7%,39.5%,39.7%,24.2%,41.1%,43.0%,43.8%,0.0%,39.7%,39.7%,39.7%,39.7%,39.4%,50.0%,39.7%,39.6%,50.0%,39.7%,43.1%,23.1%
CAUQUENES,basica,Adecuado,21.5%,18.0%,27.2%,0.0%,21.5%,22.5%,11.6%,21.5%,12.1%,19.8%,19.8%,31.3%,0.0%,21.5%,24.1%,18.8%,21.5%,21.6%,16.7%,21.5%,21.6%,0.0%,21.5%,25.1%,3.8%
CAUQUENES,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CERRILLOS,basica,Insuficiente,44.6%,59.6%,36.9%,0.0%,44.6%,44.6%,0.0%,44.6%,63.3%,50.5%,49.7%,30.6%,0.0%,44.6%,37.9%,52.7%,44.8%,44.3%,54.0%,44.7%,42.7%,58.3%,44.7%,39.8%,87.5%
CERRILLOS,basica,Elemental,37.3%,30.8%,40.6%,0.0%,37.3%,37.3%,0.0%,37.3%,33.3%,34.3%,35.6%,43.4%,0.0%,37.3%,39.8%,34.3%,37.1%,37.4%,32.0%,37.2%,38.3%,29.6%,37.2%,40.3%,10.2%
CERRILLOS,basica,Adecuado,18.1%,9.6%,22.4%,0.0%,18.1%,18.1%,0.0%,18.1%,3.3%,15.2%,14.8%,26.0%,0.0%,18.1%,22.3%,13.0%,18.1%,18.4%,14.0%,18.1%,19.0%,12.0%,18.1%,19.9%,2.3%
CERRILLOS,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CERRO NAVIA,basica,Insuficiente,46.5%,54.7%,41.6%,0.0%,46.5%,46.5%,0.0%,46.5%,67.5%,44.8%,39.6%,0.0%,0.0%,46.5%,40.4%,53.2%,46.4%,45.5%,52.2%,46.5%,44.9%,61.4%,46.5%,42.8%,78.7%
CERRO NAVIA,basica,Elemental,37.5%,33.9%,39.7%,0.0%,37.5%,37.5%,0.0%,37.5%,26.5%,37.4%,44.0%,0.0%,0.0%,37.5%,38.4%,36.6%,37.6%,38.5%,32.1%,37.5%,38.4%,29.8%,37.5%,39.6%,19.7%
CERRO NAVIA,basica,Adecuado,15.9%,11.4%,18.6%,0.0%,15.9%,15.9%,0.0%,15.9%,6.0%,17.8%,16.4%,0.0%,0.0%,15.9%,21.2%,10.2%,16.0%,16.0%,15.7%,15.9%,16.7%,8.8%,15.9%,17.6%,1.6%
CERRO NAVIA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHAITÉN,basica,Insuficiente,52.2%,50.0%,100.0%,0.0%,52.2%,0.0%,52.2%,52.2%,0.0%,33.3%,58.8%,0.0%,0.0%,52.2%,50.0%,54.2%,52.2%,50.0%,56.3%,52.2%,52.3%,50.0%,52.2%,50.0%,62.5%
CHAITÉN,basica,Elemental,34.8%,36.4%,0.0%,0.0%,34.8%,0.0%,34.8%,34.8%,0.0%,58.3%,26.5%,0.0%,0.0%,34.8%,40.9%,29.2%,34.8%,40.0%,25.0%,34.8%,34.1%,50.0%,34.8%,34.2%,37.5%
CHAITÉN,basica,Adecuado,13.0%,13.6%,0.0%,0.0%,13.0%,0.0%,13.0%,13.0%,0.0%,8.3%,14.7%,0.0%,0.0%,13.0%,9.1%,16.7%,13.0%,10.0%,18.8%,13.0%,13.6%,0.0%,13.0%,15.8%,0.0%
CHAITÉN,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHAÑARAL,basica,Insuficiente,47.5%,63.2%,33.3%,0.0%,47.5%,47.5%,0.0%,47.5%,0.0%,63.2%,33.3%,0.0%,0.0%,47.5%,47.8%,47.1%,47.5%,47.5%,0.0%,47.5%,45.9%,66.7%,47.5%,47.4%,50.0%
CHAÑARAL,basica,Elemental,40.0%,31.6%,47.6%,0.0%,40.0%,40.0%,0.0%,40.0%,0.0%,31.6%,47.6%,0.0%,0.0%,40.0%,43.5%,35.3%,40.0%,40.0%,0.0%,40.0%,40.5%,33.3%,40.0%,39.5%,50.0%
CHAÑARAL,basica,Adecuado,12.5%,5.3%,19.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,5.3%,19.0%,0.0%,0.0%,12.5%,8.7%,17.6%,12.5%,12.5%,0.0%,12.5%,13.5%,0.0%,12.5%,13.2%,0.0%
CHAÑARAL,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHANCO,basica,Insuficiente,39.8%,39.8%,0.0%,0.0%,39.8%,35.7%,46.9%,39.8%,50.0%,40.4%,32.0%,0.0%,0.0%,39.8%,28.2%,49.0%,39.8%,41.7%,0.0%,39.8%,40.2%,0.0%,39.8%,33.9%,53.8%
CHANCO,basica,Elemental,46.6%,46.6%,0.0%,0.0%,46.6%,50.0%,40.6%,46.6%,31.3%,51.1%,48.0%,0.0%,0.0%,46.6%,53.8%,40.8%,46.6%,45.2%,75.0%,46.6%,47.1%,0.0%,46.6%,50.0%,38.5%
CHANCO,basica,Adecuado,13.6%,13.6%,0.0%,0.0%,13.6%,14.3%,12.5%,13.6%,18.8%,8.5%,20.0%,0.0%,0.0%,13.6%,17.9%,10.2%,13.6%,13.1%,25.0%,13.6%,12.6%,100.0%,13.6%,16.1%,7.7%
CHANCO,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHÉPICA,basica,Insuficiente,32.6%,32.6%,0.0%,0.0%,32.6%,36.6%,27.6%,32.6%,25.0%,32.8%,0.0%,0.0%,0.0%,32.6%,22.6%,39.5%,32.6%,33.1%,0.0%,32.6%,32.2%,37.5%,32.6%,27.5%,51.9%
CHÉPICA,basica,Elemental,37.2%,37.2%,0.0%,0.0%,37.2%,33.8%,41.4%,37.2%,50.0%,36.8%,0.0%,0.0%,0.0%,37.2%,41.5%,34.2%,37.2%,36.2%,100.0%,37.2%,35.5%,62.5%,37.2%,38.2%,33.3%
CHÉPICA,basica,Adecuado,30.2%,30.2%,0.0%,0.0%,30.2%,29.6%,31.0%,30.2%,25.0%,30.4%,0.0%,0.0%,0.0%,30.2%,35.8%,26.3%,30.2%,30.7%,0.0%,30.2%,32.2%,0.0%,30.2%,34.3%,14.8%
CHÉPICA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHIGUAYANTE,basica,Insuficiente,26.5%,48.3%,26.8%,6.0%,26.5%,26.5%,0.0%,26.5%,100.0%,39.8%,30.2%,25.8%,4.9%,26.5%,23.4%,29.9%,26.5%,26.4%,38.5%,26.5%,26.2%,40.9%,26.5%,21.0%,59.2%
CHIGUAYANTE,basica,Elemental,42.3%,33.3%,45.3%,30.0%,42.3%,42.3%,0.0%,42.3%,0.0%,42.7%,48.0%,37.8%,36.1%,42.3%,42.0%,42.6%,42.2%,42.4%,30.8%,42.2%,42.0%,50.0%,42.2%,43.6%,34.4%
CHIGUAYANTE,basica,Adecuado,31.2%,18.4%,28.0%,64.0%,31.2%,31.2%,0.0%,31.2%,0.0%,17.5%,21.8%,36.4%,59.0%,31.2%,34.6%,27.5%,31.2%,31.2%,30.8%,31.2%,31.8%,9.1%,31.2%,35.5%,6.4%
CHIGUAYANTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHILE CHICO,basica,Insuficiente,31.9%,31.9%,0.0%,0.0%,31.9%,0.0%,31.9%,31.9%,0.0%,100.0%,30.4%,0.0%,0.0%,31.9%,20.0%,45.5%,31.9%,33.3%,20.0%,31.9%,30.4%,100.0%,31.9%,26.2%,80.0%
CHILE CHICO,basica,Elemental,53.2%,53.2%,0.0%,0.0%,53.2%,0.0%,53.2%,53.2%,0.0%,0.0%,54.3%,0.0%,0.0%,53.2%,60.0%,45.5%,53.2%,50.0%,80.0%,53.2%,54.3%,0.0%,53.2%,57.1%,20.0%
CHILE CHICO,basica,Adecuado,14.9%,14.9%,0.0%,0.0%,14.9%,0.0%,14.9%,14.9%,0.0%,0.0%,15.2%,0.0%,0.0%,14.9%,20.0%,9.1%,14.9%,16.7%,0.0%,14.9%,15.2%,0.0%,14.9%,16.7%,0.0%
CHILE CHICO,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHILLÁN,basica,Insuficiente,32.3%,41.0%,31.2%,13.3%,32.3%,31.8%,41.4%,32.3%,51.2%,45.2%,28.8%,33.7%,14.2%,32.3%,28.5%,36.2%,32.3%,32.1%,46.2%,32.3%,32.0%,40.7%,32.3%,27.0%,67.1%
CHILLÁN,basica,Elemental,40.5%,39.8%,40.0%,52.0%,40.5%,40.7%,37.8%,40.5%,37.2%,37.4%,42.3%,39.9%,43.0%,40.5%,40.7%,40.4%,40.5%,40.6%,38.5%,40.5%,40.4%,43.0%,40.5%,42.6%,27.1%
CHILLÁN,basica,Adecuado,27.2%,19.2%,28.7%,34.7%,27.2%,27.5%,20.7%,27.2%,11.6%,17.3%,28.9%,26.4%,42.7%,27.2%,30.9%,23.4%,27.2%,27.3%,15.4%,27.2%,27.6%,16.3%,27.2%,30.4%,5.7%
CHILLÁN,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHILLÁN VIEJO,basica,Insuficiente,50.3%,81.1%,42.9%,0.0%,50.3%,47.8%,84.6%,50.3%,62.5%,45.6%,100.0%,0.0%,0.0%,50.3%,47.9%,52.5%,50.3%,50.5%,0.0%,50.3%,51.1%,28.6%,50.3%,41.4%,77.1%
CHILLÁN VIEJO,basica,Elemental,29.5%,13.5%,33.3%,0.0%,29.5%,31.1%,7.7%,29.5%,22.5%,32.2%,0.0%,0.0%,0.0%,29.5%,36.2%,23.2%,29.5%,29.2%,100.0%,29.5%,29.6%,28.6%,29.5%,33.8%,16.7%
CHILLÁN VIEJO,basica,Adecuado,20.2%,5.4%,23.7%,0.0%,20.2%,21.1%,7.7%,20.2%,15.0%,22.1%,0.0%,0.0%,0.0%,20.2%,16.0%,24.2%,20.2%,20.3%,0.0%,20.2%,19.4%,42.9%,20.2%,24.8%,6.3%
CHILLÁN VIEJO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHIMBARONGO,basica,Insuficiente,37.7%,40.6%,35.0%,0.0%,37.7%,40.6%,34.1%,37.7%,46.5%,41.4%,20.7%,0.0%,0.0%,37.7%,34.0%,41.8%,37.7%,37.8%,33.3%,37.7%,37.4%,60.0%,37.7%,33.4%,59.1%
CHIMBARONGO,basica,Elemental,38.7%,39.6%,37.9%,0.0%,38.7%,37.4%,40.3%,38.7%,32.4%,40.1%,40.2%,0.0%,0.0%,38.7%,39.8%,37.6%,38.7%,38.6%,50.0%,38.7%,39.0%,20.0%,38.7%,40.1%,31.8%
CHIMBARONGO,basica,Adecuado,23.5%,19.8%,27.1%,0.0%,23.5%,21.9%,25.6%,23.5%,21.1%,18.6%,39.1%,0.0%,0.0%,23.5%,26.2%,20.6%,23.5%,23.7%,16.7%,23.5%,23.6%,20.0%,23.5%,26.4%,9.1%
CHIMBARONGO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHOLCHOL,basica,Insuficiente,53.9%,69.2%,50.0%,0.0%,53.9%,50.0%,57.4%,53.9%,73.3%,52.9%,36.7%,0.0%,0.0%,53.9%,40.0%,68.3%,53.9%,35.7%,62.8%,53.9%,53.9%,0.0%,53.9%,44.0%,89.3%
