slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ANDALIÉN SUR,media,Elemental,34.2%,28.2%,35.7%,36.4%,34.2%,34.2%,30.0%,34.2%,25.9%,31.6%,32.7%,38.6%,37.1%,34.2%,32.8%,35.6%,34.2%,34.4%,27.8%,34.2%,34.3%,32.8%,34.2%,35.7%,18.7%
ANDALIÉN SUR,media,Adecuado,22.5%,8.8%,22.9%,44.7%,22.5%,22.6%,0.0%,22.5%,5.2%,12.1%,17.7%,28.3%,44.1%,22.5%,27.6%,17.3%,22.5%,22.6%,20.0%,22.5%,22.9%,13.8%,22.5%,24.1%,5.8%
ANDALIÉN SUR,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUELCHE,media,Insuficiente,65.5%,67.7%,54.5%,0.0%,65.5%,62.8%,93.1%,65.5%,73.5%,58.7%,57.8%,0.0%,0.0%,65.5%,62.2%,68.8%,65.5%,63.7%,78.9%,65.5%,65.6%,33.3%,65.5%,62.1%,84.8%
PUELCHE,media,Elemental,27.7%,26.6%,33.0%,0.0%,27.7%,29.6%,6.9%,27.7%,21.6%,31.9%,36.1%,0.0%,0.0%,27.7%,29.5%,25.8%,27.7%,28.8%,18.4%,27.7%,27.6%,33.3%,27.7%,30.0%,14.1%
PUELCHE,media,Adecuado,6.9%,5.7%,12.5%,0.0%,6.9%,7.5%,0.0%,6.9%,4.8%,9.4%,6.0%,0.0%,0.0%,6.9%,8.3%,5.4%,6.9%,7.4%,2.6%,6.9%,6.8%,33.3%,6.9%,7.9%,1.0%
PUELCHE,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ARAUCO NORTE,media,Insuficiente,55.6%,58.9%,51.3%,0.0%,55.6%,55.0%,84.2%,55.6%,72.1%,51.7%,53.9%,25.0%,0.0%,55.6%,52.1%,59.3%,55.6%,54.9%,59.9%,55.6%,55.5%,66.7%,55.6%,52.5%,77.5%
ARAUCO NORTE,media,Elemental,30.7%,31.9%,29.6%,0.0%,30.7%,31.0%,15.8%,30.7%,24.5%,35.8%,35.0%,25.0%,0.0%,30.7%,32.1%,29.2%,30.7%,30.9%,29.3%,30.7%,30.8%,16.7%,30.7%,32.3%,19.4%
ARAUCO NORTE,media,Adecuado,13.8%,9.2%,19.1%,100.0%,13.8%,14.0%,0.0%,13.8%,3.4%,12.5%,11.1%,50.0%,100.0%,13.8%,15.9%,11.5%,13.8%,14.2%,10.9%,13.8%,13.7%,16.7%,13.8%,15.3%,3.1%
ARAUCO NORTE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ARAUCO SUR,media,Insuficiente,60.6%,58.5%,63.7%,0.0%,60.6%,61.2%,56.1%,60.6%,76.0%,48.3%,52.5%,38.0%,0.0%,60.6%,58.4%,62.7%,60.6%,57.8%,65.7%,60.6%,60.6%,100.0%,60.6%,56.6%,89.3%
ARAUCO SUR,media,Elemental,27.2%,28.7%,24.9%,0.0%,27.2%,26.9%,29.0%,27.2%,19.7%,33.6%,29.5%,38.0%,0.0%,27.2%,26.1%,28.1%,27.2%,28.1%,25.5%,27.2%,27.2%,0.0%,27.2%,29.5%,10.7%
ARAUCO SUR,media,Adecuado,12.2%,12.8%,11.4%,0.0%,12.2%,11.8%,15.0%,12.2%,4.3%,18.2%,18.0%,24.0%,0.0%,12.2%,15.5%,9.2%,12.2%,14.1%,8.8%,12.2%,12.2%,0.0%,12.2%,13.9%,0.0%
ARAUCO SUR,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANDALIÉN COSTA,media,Insuficiente,52.5%,73.4%,45.6%,11.7%,52.5%,52.3%,86.7%,52.5%,79.9%,71.3%,41.7%,26.3%,9.2%,52.5%,49.1%,56.1%,52.4%,52.0%,63.1%,52.5%,52.2%,65.6%,52.5%,48.3%,82.8%
ANDALIÉN COSTA,media,Elemental,28.9%,21.1%,33.6%,29.1%,28.9%,28.9%,13.3%,28.9%,18.1%,25.4%,37.2%,38.8%,28.0%,28.9%,30.3%,27.3%,28.9%,28.8%,33.3%,28.9%,28.9%,29.5%,28.9%,30.9%,14.4%
ANDALIÉN COSTA,media,Adecuado,18.7%,5.5%,20.8%,59.2%,18.7%,18.7%,0.0%,18.7%,2.0%,3.3%,21.0%,34.9%,62.8%,18.7%,20.6%,16.6%,18.7%,19.3%,3.6%,18.7%,18.9%,4.9%,18.7%,20.8%,2.9%
ANDALIÉN COSTA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE BIOBÍO,media,Insuficiente,57.0%,58.4%,54.4%,0.0%,57.0%,56.4%,76.5%,57.0%,64.8%,54.9%,62.3%,42.3%,0.0%,57.0%,54.8%,59.1%,57.0%,56.8%,66.7%,57.0%,57.0%,50.0%,57.0%,52.2%,84.7%
VALLE BIOBÍO,media,Elemental,31.5%,31.6%,31.4%,0.0%,31.5%,31.7%,23.5%,31.5%,30.2%,32.1%,32.3%,31.5%,0.0%,31.5%,30.8%,32.3%,31.4%,31.7%,20.0%,31.5%,31.4%,50.0%,31.5%,34.5%,14.3%
VALLE BIOBÍO,media,Adecuado,11.5%,10.0%,14.2%,0.0%,11.5%,11.8%,0.0%,11.5%,4.9%,13.0%,5.4%,26.1%,0.0%,11.5%,14.4%,8.5%,11.5%,11.5%,13.3%,11.5%,11.6%,0.0%,11.5%,13.3%,1.0%
VALLE BIOBÍO,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS COPIHUES,media,Insuficiente,51.2%,61.1%,48.1%,11.8%,51.2%,49.1%,69.3%,51.2%,67.9%,52.8%,53.7%,26.9%,11.8%,51.2%,49.7%,52.7%,51.2%,50.8%,64.5%,51.2%,51.4%,43.5%,51.2%,48.0%,79.3%
LOS COPIHUES,media,Elemental,31.9%,29.7%,33.5%,32.4%,31.9%,32.7%,25.4%,31.9%,26.6%,34.7%,34.0%,37.0%,32.4%,31.9%,32.4%,31.5%,31.9%,32.1%,26.9%,31.9%,31.8%,39.1%,31.9%,33.6%,17.9%
LOS COPIHUES,media,Adecuado,16.8%,9.2%,18.4%,55.9%,16.8%,18.2%,5.3%,16.8%,5.5%,12.5%,12.3%,36.0%,55.9%,16.8%,17.8%,15.9%,16.8%,17.1%,8.6%,16.8%,16.8%,17.4%,16.8%,18.5%,2.8%
LOS COPIHUES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LAS CALETAS,media,Insuficiente,52.0%,70.6%,44.8%,14.5%,52.0%,52.0%,0.0%,52.0%,75.5%,65.0%,46.0%,41.9%,14.5%,52.0%,47.7%,56.9%,52.0%,51.7%,66.0%,52.0%,51.6%,64.6%,52.0%,48.7%,79.9%
LAS CALETAS,media,Elemental,31.9%,23.0%,38.2%,35.5%,31.9%,31.9%,0.0%,31.9%,20.9%,27.7%,34.5%,39.6%,35.5%,31.9%,32.6%,31.0%,31.9%,32.1%,20.0%,31.9%,32.0%,30.8%,31.9%,33.5%,18.3%
LAS CALETAS,media,Adecuado,16.1%,6.4%,17.0%,50.0%,16.1%,16.1%,0.0%,16.1%,3.6%,7.3%,19.5%,18.5%,50.0%,16.1%,19.6%,12.1%,16.1%,16.2%,14.0%,16.1%,16.4%,4.6%,16.1%,17.8%,1.8%
LAS CALETAS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MALLECO COSTA,media,Insuficiente,57.7%,62.6%,52.2%,7.4%,57.7%,56.3%,92.3%,57.7%,71.8%,53.3%,37.3%,40.0%,7.4%,57.7%,53.3%,62.6%,57.7%,54.9%,70.2%,57.7%,57.6%,100.0%,57.7%,54.3%,91.1%
MALLECO COSTA,media,Elemental,27.9%,25.9%,31.5%,25.9%,27.9%,28.7%,7.7%,27.9%,22.5%,37.8%,36.0%,36.7%,25.9%,27.9%,29.8%,25.9%,28.0%,28.9%,23.6%,27.9%,28.0%,0.0%,27.9%,30.0%,8.1%
MALLECO COSTA,media,Adecuado,14.3%,11.5%,16.3%,66.7%,14.3%,14.9%,0.0%,14.3%,5.7%,8.9%,26.7%,23.3%,66.7%,14.3%,16.9%,11.5%,14.4%,16.2%,6.2%,14.3%,14.4%,0.0%,14.3%,15.7%,0.8%
MALLECO COSTA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA ARAUCANÍA,media,Insuficiente,68.4%,68.2%,68.6%,0.0%,68.4%,67.6%,76.5%,68.4%,70.4%,79.2%,51.1%,0.0%,0.0%,68.4%,65.4%,71.5%,68.4%,64.5%,71.7%,68.4%,68.5%,33.3%,68.4%,65.2%,87.8%
COSTA ARAUCANÍA,media,Elemental,25.5%,24.0%,27.7%,0.0%,25.5%,25.9%,21.0%,25.5%,24.3%,14.5%,39.7%,0.0%,0.0%,25.5%,27.0%,24.0%,25.5%,27.2%,24.0%,25.5%,25.4%,66.7%,25.5%,28.1%,9.2%
COSTA ARAUCANÍA,media,Adecuado,6.1%,7.8%,3.7%,0.0%,6.1%,6.5%,2.5%,6.1%,5.2%,6.3%,9.2%,0.0%,0.0%,6.1%,7.6%,4.6%,6.1%,8.2%,4.3%,6.1%,6.2%,0.0%,6.1%,6.6%,3.1%
COSTA ARAUCANÍA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MALLECO CORDILLERA,media,Insuficiente,65.1%,71.3%,54.6%,0.0%,65.1%,65.1%,0.0%,65.1%,74.7%,63.7%,59.6%,37.2%,0.0%,65.1%,63.1%,67.0%,65.1%,62.3%,70.2%,65.1%,65.2%,50.0%,65.1%,61.3%,91.3%
MALLECO CORDILLERA,media,Elemental,27.1%,22.5%,34.6%,0.0%,27.1%,27.1%,0.0%,27.1%,21.0%,26.7%,33.1%,40.9%,0.0%,27.1%,28.6%,25.6%,27.1%,28.6%,24.2%,27.1%,27.0%,37.5%,27.1%,29.8%,8.0%
MALLECO CORDILLERA,media,Adecuado,7.9%,6.1%,10.7%,0.0%,7.9%,7.9%,0.0%,7.9%,4.3%,9.6%,7.3%,21.9%,0.0%,7.9%,8.3%,7.4%,7.9%,9.1%,5.6%,7.9%,7.8%,12.5%,7.9%,8.9%,0.7%
MALLECO CORDILLERA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAUTÍN NORTE,media,Insuficiente,52.3%,59.1%,52.8%,15.5%,52.3%,51.7%,82.7%,52.3%,77.1%,54.0%,46.8%,37.0%,14.1%,52.3%,49.7%,55.1%,52.3%,47.5%,63.4%,52.3%,52.4%,50.0%,52.3%,49.6%,84.8%
CAUTÍN NORTE,media,Elemental,32.6%,30.6%,33.0%,38.0%,32.6%,32.9%,17.3%,32.6%,20.9%,35.8%,37.3%,38.1%,35.3%,32.6%,33.5%,31.6%,32.6%,34.3%,28.7%,32.6%,32.6%,33.3%,32.6%,34.2%,13.6%
CAUTÍN NORTE,media,Adecuado,15.1%,10.3%,14.2%,46.5%,15.1%,15.4%,0.0%,15.1%,2.0%,10.2%,15.9%,24.9%,50.6%,15.1%,16.7%,13.3%,15.1%,18.2%,7.9%,15.1%,15.1%,16.7%,15.1%,16.2%,1.5%
CAUTÍN NORTE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAUTÍN SUR,media,Insuficiente,54.4%,55.0%,54.6%,20.6%,54.4%,53.4%,64.8%,54.4%,63.3%,52.1%,50.2%,39.5%,26.4%,54.4%,50.7%,58.4%,54.4%,51.2%,61.6%,54.4%,54.5%,42.4%,54.4%,49.5%,89.0%
CAUTÍN SUR,media,Elemental,33.0%,32.9%,32.9%,38.2%,33.0%,33.5%,27.6%,33.0%,30.0%,33.2%,35.6%,37.5%,39.6%,33.0%,34.6%,31.2%,32.9%,34.5%,29.4%,32.9%,32.8%,45.5%,32.9%,36.2%,9.9%
CAUTÍN SUR,media,Adecuado,12.7%,12.2%,12.4%,41.2%,12.7%,13.1%,7.7%,12.7%,6.7%,14.6%,14.3%,23.0%,34.0%,12.7%,14.7%,10.4%,12.7%,14.3%,9.0%,12.7%,12.7%,12.1%,12.7%,14.3%,1.1%
CAUTÍN SUR,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
RANCO,media,Insuficiente,45.1%,52.5%,39.3%,6.3%,45.1%,50.6%,31.4%,45.1%,53.4%,43.1%,57.8%,31.5%,6.3%,45.1%,40.5%,50.4%,45.2%,41.9%,53.7%,45.1%,45.1%,44.4%,45.1%,41.8%,74.5%
RANCO,media,Elemental,38.7%,35.5%,41.3%,50.0%,38.7%,36.5%,44.0%,38.7%,39.8%,38.0%,29.9%,53.3%,50.0%,38.7%,39.9%,37.3%,38.6%,41.1%,32.0%,38.7%,38.7%,33.3%,38.7%,40.6%,21.8%
RANCO,media,Adecuado,16.2%,12.0%,19.5%,43.8%,16.2%,12.9%,24.6%,16.2%,6.8%,18.9%,12.2%,15.2%,43.8%,16.2%,19.6%,12.4%,16.3%,17.0%,14.3%,16.2%,16.2%,22.2%,16.2%,17.7%,3.6%
RANCO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALDIVIA,media,Insuficiente,55.7%,63.0%,53.3%,12.3%,55.7%,54.8%,66.4%,55.7%,73.7%,62.0%,49.1%,44.1%,14.8%,55.7%,51.1%,60.7%,55.7%,54.8%,59.8%,55.7%,55.7%,57.6%,55.7%,52.5%,81.9%
VALDIVIA,media,Elemental,31.2%,29.4%,32.2%,38.0%,31.2%,31.8%,24.5%,31.2%,22.1%,30.5%,36.7%,36.3%,35.4%,31.2%,32.7%,29.6%,31.2%,31.1%,31.6%,31.2%,31.2%,30.3%,31.2%,32.9%,17.8%
VALDIVIA,media,Adecuado,13.1%,7.6%,14.5%,49.7%,13.1%,13.4%,9.1%,13.1%,4.2%,7.5%,14.2%,19.6%,49.8%,13.1%,16.3%,9.7%,13.1%,14.1%,8.6%,13.1%,13.1%,12.1%,13.1%,14.7%,0.3%
VALDIVIA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LLANQUIHUE,media,Insuficiente,56.1%,73.3%,54.8%,13.9%,56.1%,54.5%,65.5%,56.1%,74.3%,70.6%,54.4%,18.8%,13.9%,56.1%,54.4%,57.8%,56.1%,51.2%,77.0%,56.1%,56.3%,48.0%,56.1%,52.9%,87.1%
LLANQUIHUE,media,Elemental,28.4%,23.4%,29.2%,39.5%,28.4%,28.5%,28.2%,28.4%,22.6%,23.9%,31.1%,37.5%,39.5%,28.4%,28.7%,28.1%,28.4%,30.2%,20.8%,28.4%,28.1%,44.0%,28.4%,30.1%,11.4%
LLANQUIHUE,media,Adecuado,15.5%,3.2%,16.0%,46.6%,15.5%,17.1%,6.3%,15.5%,3.1%,5.5%,14.5%,43.8%,46.6%,15.5%,16.9%,14.1%,15.5%,18.7%,2.2%,15.5%,15.6%,8.0%,15.5%,17.0%,1.5%
LLANQUIHUE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHILOÉ,media,Insuficiente,59.9%,66.0%,50.5%,0.0%,59.9%,60.5%,27.5%,59.9%,67.6%,65.3%,45.0%,47.9%,9.3%,59.9%,56.3%,63.5%,59.8%,56.2%,67.9%,59.8%,59.7%,67.4%,59.8%,56.1%,86.2%
CHILOÉ,media,Elemental,30.1%,26.7%,35.3%,0.0%,30.1%,29.7%,47.5%,30.1%,27.9%,28.0%,37.5%,31.9%,44.2%,30.1%,31.8%,28.3%,30.2%,32.2%,25.5%,30.1%,30.2%,25.6%,30.1%,32.5%,13.4%
CHILOÉ,media,Adecuado,10.0%,7.3%,14.2%,0.0%,10.0%,9.7%,25.0%,10.0%,4.6%,6.7%,17.5%,20.2%,46.5%,10.0%,11.8%,8.2%,10.0%,11.5%,6.6%,10.1%,10.1%,7.0%,10.1%,11.4%,0.4%
CHILOÉ,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
OSORNO,media,Insuficiente,50.2%,61.8%,48.3%,9.9%,50.2%,50.8%,43.8%,50.2%,66.8%,55.9%,43.4%,35.6%,9.9%,50.2%,46.5%,54.0%,50.2%,47.3%,59.5%,50.2%,50.0%,71.4%,50.2%,47.1%,79.6%
OSORNO,media,Elemental,32.2%,30.0%,34.2%,31.9%,32.2%,32.0%,33.6%,32.2%,24.6%,33.1%,38.2%,40.8%,31.9%,32.2%,33.4%,30.9%,32.2%,33.0%,29.7%,32.2%,32.3%,23.8%,32.2%,33.5%,19.6%
OSORNO,media,Adecuado,17.6%,8.2%,17.5%,58.2%,17.6%,17.2%,22.6%,17.6%,8.6%,11.1%,18.3%,23.6%,58.2%,17.6%,20.2%,15.1%,17.6%,19.7%,10.9%,17.6%,17.7%,4.8%,17.6%,19.4%,0.8%
OSORNO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
RELONCAVÍ,media,Insuficiente,54.5%,67.6%,50.4%,4.3%,54.5%,53.6%,64.1%,54.5%,70.9%,66.3%,48.2%,42.3%,11.4%,54.5%,51.2%,57.9%,54.5%,51.7%,66.6%,54.5%,54.1%,65.5%,54.5%,51.3%,87.5%
RELONCAVÍ,media,Elemental,30.6%,26.0%,34.7%,26.1%,30.6%,30.9%,27.1%,30.6%,24.6%,27.6%,35.1%,38.5%,29.7%,30.6%,31.6%,29.6%,30.6%,31.6%,26.4%,30.6%,30.9%,23.2%,30.6%,32.4%,11.6%
RELONCAVÍ,media,Adecuado,14.9%,6.4%,14.9%,69.7%,14.9%,15.5%,8.8%,14.9%,4.5%,6.1%,16.7%,19.2%,59.0%,14.9%,17.3%,12.5%,14.9%,16.7%,6.9%,14.9%,15.0%,11.3%,14.9%,16.2%,0.9%
RELONCAVÍ,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
AYSÉN,media,Insuficiente,50.8%,64.6%,43.8%,0.0%,50.8%,49.8%,57.6%,50.8%,77.6%,59.5%,46.0%,28.8%,20.5%,50.8%,48.2%,53.8%,50.8%,49.5%,56.9%,50.8%,50.7%,55.6%,50.8%,46.5%,82.6%
AYSÉN,media,Elemental,32.1%,26.6%,34.8%,0.0%,32.1%,32.6%,28.0%,32.1%,19.4%,30.0%,36.1%,41.0%,31.8%,32.1%,30.7%,33.7%,32.1%,32.8%,28.4%,32.1%,32.1%,27.8%,32.1%,34.4%,14.4%
AYSÉN,media,Adecuado,17.2%,8.8%,21.4%,0.0%,17.2%,17.6%,14.4%,17.2%,3.0%,10.5%,17.9%,30.3%,47.7%,17.2%,21.1%,12.6%,17.2%,17.7%,14.7%,17.2%,17.2%,16.7%,17.2%,19.1%,3.0%
AYSÉN,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAGALLANES,media,Insuficiente,51.9%,69.1%,43.3%,18.7%,51.9%,51.9%,0.0%,51.9%,83.8%,72.6%,63.1%,31.6%,19.4%,51.9%,50.5%,53.4%,51.8%,49.2%,65.3%,51.9%,51.2%,64.7%,51.9%,48.4%,86.2%
MAGALLANES,media,Elemental,31.0%,23.8%,38.1%,33.0%,31.0%,31.0%,0.0%,31.0%,14.6%,22.9%,29.9%,44.1%,31.5%,31.0%,32.6%,29.4%,31.1%,31.9%,26.9%,31.1%,31.2%,28.2%,31.1%,32.9%,13.2%
MAGALLANES,media,Adecuado,17.0%,7.0%,18.6%,48.3%,17.0%,17.0%,0.0%,17.0%,1.5%,4.5%,7.0%,24.3%,49.2%,17.0%,16.8%,17.2%,17.1%,18.9%,7.7%,17.0%,17.6%,7.1%,17.0%,18.7%,0.7%
MAGALLANES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TODAS,media,Insuficiente,49.9%,63.3%,48.7%,14.1%,49.9%,49.6%,59.7%,49.9%,70.8%,61.2%,49.6%,35.4%,14.4%,49.9%,46.6%,53.4%,49.9%,49.0%,60.8%,49.9%,49.1%,60.9%,49.9%,47.2%,82.9%
TODAS,media,Elemental,31.8%,27.1%,34.4%,31.9%,31.8%,31.9%,28.7%,31.8%,24.1%,29.4%,34.4%,38.5%,32.4%,31.8%,32.5%,31.0%,31.8%,32.0%,29.0%,31.8%,32.1%,27.2%,31.8%,33.1%,15.1%
TODAS,media,Adecuado,18.3%,9.6%,16.9%,54.0%,18.3%,18.6%,11.6%,18.3%,5.1%,9.4%,16.0%,26.0%,53.2%,18.3%,20.9%,15.6%,18.4%,19.0%,10.2%,18.4%,18.8%,11.9%,18.4%,19.7%,1.9%
TODAS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
